,Suburb,ID_Domain,Postcode
0,Abbotsford,627,3067
1,Aberfeldie,647,3040
2,Airport West,757,3042
3,Albanvale,787,3021
4,Albert Park,797,3206
5,Albion,837,3020
6,Alphington,1047,3078
7,Altona Meadows,1127,3028
8,Altona North,1137,3025
9,Altona,1057,3018
10,Ardeer,1507,3022
11,Armadale,1587,3143
12,Arthurs Seat,1687,3936
13,Ascot Vale,1757,3032
14,Ashburton,1787,3147
15,Ashwood,1807,3147
16,Aspendale,1817,3195
17,Aspendale Gardens,1837,3195
18,Attwood,1857,3049
19,Auburn,N/A,N/A
20,Aurora,N/A,N/A
21,Avondale Heights,1957,3034
22,Avonsleigh,1977,3782
23,Balaclava,2197,3183
24,Balwyn,2557,3103
25,Balwyn North,2597,3104
26,Bangholme,2687,3175
27,Baxter,3267,3911
28,Bayswater,3337,3153
29,Bayswater North,3387,3153
30,Beaconsfield,3417,3807
31,Beaumaris,3547,3193
32,Belgrave,3617,3160
33,Belgrave Heights,3627,3160
34,Belgrave South,3637,3160
35,Bellfield,3787,3081
36,Bennettswood,N/A,N/A
37,Bentleigh,4117,3204
38,Bentleigh East,4127,3165
39,Berwick,4297,3806
40,Bittern,4567,3918
41,Black Rock,4627,3193
42,Blackburn,4637,3130
43,Blackburn North,4657,3130
44,Blackburn South,4667,3130
45,Blairgowrie,4717,3942
46,Bonbeach,5007,3196
47,Boronia,5327,3155
48,Box Hill,5477,3128
49,Box Hill North,5547,3129
50,Box Hill South,5567,3128
51,Braeside,5647,3195
52,Braybrook,5697,3019
53,Briar Hill,5807,3088
54,Brighton,5957,3186
55,Brighton East,5997,3187
56,Broadmeadows,6127,3047
57,Brookfield,6207,3338
58,Brooklyn,6227,3012
59,Brunswick,6377,3056
60,Brunswick East,6427,3057
61,Brunswick West,6447,3055
62,Bulla,6657,3428
63,Bulleen,6707,3105
64,Bundoora,6877,3083
65,Burnley,7117,3121
66,Burnside,7137,3023
67,Burnside Heights,48297,3023
68,Burwood,7237,3125
69,Burwood East,7327,3151
70,Cairnlea,7527,3023
71,Calder Park,104257,3037
72,Camberwell,7677,3124
73,Campbellfield,7717,3061
74,Canterbury,7907,3126
75,Carlton North,8247,3054
76,Carlton,8217,3053
77,Carnegie,8297,3163
78,Caroline Springs,8327,3023
79,Carrum,8497,3197
80,Carrum Downs,8507,3201
81,Caulfield,8687,3162
82,Caulfield East,8707,3145
83,Caulfield North,8747,3161
84,Caulfield South,8787,3162
85,Chadstone,8847,3148
86,Chelsea,8927,3196
87,Chelsea Heights,8937,3196
88,Cheltenham,8967,3192
89,Chirnside Park,9137,3116
90,Clarinda,9257,3169
91,Clayton,9327,3168
92,Clayton South,9367,3169
93,Clematis,9397,3782
94,Clifton Hill,9437,3068
95,Coburg,9707,3058
96,Coburg North,9727,3058
97,Cocoroc,9797,3030
98,Coldstream,9947,3770
99,Collingwood,9987,3066
100,Coolaroo,10107,3048
101,Craigieburn,10597,3064
102,Cranbourne,10627,3977
103,Cranbourne East,10647,3977
104,Cranbourne North,10657,3977
105,Cranbourne South,10677,3977
106,Cranbourne West,10687,3977
107,Cremorne,10737,3121
108,Crib Point,10797,3919
109,Croydon,10867,3136
110,Croydon Hills,10877,3136
111,Croydon North,10887,3136
112,Croydon South,10897,3136
113,Dallas,11087,3047
114,Dandenong,11157,3175
115,Dandenong North,11187,3175
116,Dandenong South,11207,3175
117,Deer Park,11507,3023
118,Delahey,11547,3037
119,Derrimut,161087,3026
120,Diamond Creek,11867,3089
121,Dingley Village,11977,3172
122,Docklands,12117,3008
123,Doncaster,12177,3108
124,Doncaster East,12227,3109
125,Donvale,12247,3111
126,Doreen,12307,3754
127,Doveton,12367,3177
128,Dromana,12437,3936
129,Eaglemont,13037,3084
130,East Melbourne,13127,3002
131,Edithvale,13457,3196
132,Elsternwick,13627,3185
