Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1120000.0,67.0,2150000.0,535000.0,865000.0,961000.0,1355000.0,1830000.0,1100000.0,79.0,2700000.0,115000.0,54.0,38.0,650.0,151.0,1450.0,350.0
3040,Aberfeldie,647,1400000.0,193.0,6500000.0,326000.0,655000.0,940000.0,1710000.0,2800000.0,1368000.0,255.0,5000000.0,29000.0,154.0,87.0,500.0,395.0,1600.0,280.0
3042,Airport West,757,1050000.0,86.0,1744000.0,590000.0,657000.0,860000.0,1200000.0,1560000.0,950000.0,113.0,1770000.0,70000.0,70.0,32.0,515.0,140.0,1150.0,240.0
3021,Albanvale,787,590000.0,327.0,1300000.0,365000.0,450000.0,535000.0,643000.0,757000.0,590000.0,527.0,1460000.0,34000.0,135.0,51.0,360.0,590.0,1517.0,240.0
3206,Albert Park,797,2750000.0,42.0,12300000.0,742000.0,1450000.0,1950000.0,3575000.0,5565000.0,2735000.0,47.0,13000000.0,1450000.0,30.0,15.0,790.0,104.0,2500.0,330.0
3020,Albion,837,631000.0,196.0,1160000.0,420000.0,485000.0,565000.0,690000.0,790000.0,600000.0,247.0,1100000.0,360000.0,114.0,60.0,380.0,313.0,650.0,270.0
3078,Alphington,1047,1280000.0,59.0,2815000.0,520000.0,660000.0,1045000.0,1500000.0,2255000.0,1164000.0,73.0,2850000.0,649000.0,43.0,30.0,570.0,131.0,1100.0,275.0
3028,Altona Meadows,1127,650000.0,68.0,1010000.0,435000.0,530000.0,600000.0,705000.0,775000.0,643000.0,88.0,870000.0,400000.0,7.0,6.0,390.0,108.0,530.0,300.0
3025,Altona North,1137,795000.0,231.0,1275000.0,510000.0,600000.0,705000.0,860000.0,1010000.0,770000.0,266.0,1400000.0,490000.0,120.0,50.0,480.0,349.0,750.0,280.0
3018,Altona,1057,970000.0,31.0,2350000.0,807000.0,813000.0,880000.0,1160000.0,2120000.0,938000.0,32.0,2625000.0,750000.0,9.0,6.0,500.0,32.0,900.0,360.0
3022,Ardeer,1507,585000.0,42.0,1350000.0,412000.0,490000.0,550000.0,640000.0,810000.0,550000.0,55.0,1200000.0,195000.0,24.0,9.0,350.0,77.0,550.0,280.0
3143,Armadale,1587,2445000.0,95.0,17250000.0,975000.0,1170000.0,1643000.0,3175000.0,6000000.0,2450000.0,108.0,17300000.0,399000.0,69.0,41.0,780.0,172.0,6000.0,320.0
3936,Arthurs Seat,1687,820000.0,170.0,3275000.0,220000.0,550000.0,715000.0,980000.0,2200000.0,790000.0,242.0,5000000.0,200000.0,19.0,12.0,468.0,182.0,,140.0
3032,Ascot Vale,1757,1250000.0,10.0,3000000.0,800000.0,800000.0,1000000.0,1785000.0,3000000.0,1300000.0,17.0,8000000.0,415000.0,9.0,5.0,480.0,19.0,850.0,380.0
3147,Ashburton,1787,1139000.0,78.0,2700000.0,665000.0,707000.0,945000.0,1331000.0,2010000.0,1200000.0,96.0,2975000.0,699000.0,65.0,46.0,580.0,125.0,1650.0,320.0
3147,Ashwood,1807,1139000.0,78.0,2700000.0,665000.0,707000.0,945000.0,1331000.0,2010000.0,1200000.0,96.0,2975000.0,699000.0,65.0,46.0,580.0,125.0,1650.0,320.0
3195,Aspendale,1817,1310000.0,24.0,1780000.0,606000.0,672000.0,975000.0,1460000.0,1770000.0,1300000.0,28.0,1899000.0,630000.0,8.0,4.0,620.0,29.0,875.0,470.0
3195,Aspendale Gardens,1837,1310000.0,24.0,1780000.0,606000.0,672000.0,975000.0,1460000.0,1770000.0,1300000.0,28.0,1899000.0,630000.0,8.0,4.0,620.0,29.0,875.0,470.0
3049,Attwood,1857,600000.0,94.0,1785000.0,405000.0,430000.0,550000.0,671000.0,826000.0,580000.0,121.0,2100000.0,375000.0,70.0,41.0,400.0,112.0,600.0,250.0
3034,Avondale Heights,1957,820000.0,153.0,2000000.0,360000.0,619000.0,720000.0,935000.0,1250000.0,785000.0,166.0,2500000.0,79000.0,127.0,76.0,430.0,233.0,1080.0,280.0
3782,Avonsleigh,1977,,8.0,1430000.0,1060000.0,,,,,1050000.0,12.0,1260000.0,800000.0,,,,1.0,350.0,350.0
3183,Balaclava,2197,1500000.0,83.0,5750000.0,342000.0,690000.0,1100000.0,1900000.0,2500000.0,1330000.0,85.0,3495000.0,340000.0,64.0,47.0,690.0,155.0,1600.0,260.0
3103,Balwyn,2557,2320000.0,164.0,5500000.0,535000.0,1180000.0,1710000.0,2800000.0,4160000.0,2310000.0,218.0,9100000.0,30000.0,111.0,67.0,700.0,202.0,2500.0,325.0
3104,Balwyn North,2597,1800000.0,294.0,7300000.0,490000.0,1150000.0,1505000.0,2329000.0,3800000.0,1890000.0,371.0,9000000.0,1000.0,205.0,123.0,670.0,330.0,2200.0,265.0
3175,Bangholme,2687,,,,,,,,,,,,,,,,1.0,380.0,380.0
3911,Baxter,3267,,8.0,1750000.0,1030000.0,,,,,1230000.0,14.0,1800000.0,770000.0,3.0,2.0,,1.0,750.0,750.0
3153,Bayswater,3337,720000.0,83.0,1105000.0,380000.0,451000.0,637000.0,770000.0,852000.0,670000.0,112.0,1100000.0,370000.0,26.0,18.0,420.0,80.0,600.0,280.0
3153,Bayswater North,3387,720000.0,83.0,1105000.0,380000.0,451000.0,637000.0,770000.0,852000.0,670000.0,112.0,1100000.0,370000.0,26.0,18.0,420.0,80.0,600.0,280.0
3807,Beaconsfield,3417,,2.0,1300000.0,920000.0,,,,,,2.0,1425000.0,890000.0,,,,,,
3193,Beaumaris,3547,1744000.0,97.0,5575000.0,573000.0,800000.0,1405000.0,2240000.0,3055000.0,1795000.0,116.0,6200000.0,740000.0,77.0,50.0,800.0,85.0,1900.0,410.0
3160,Belgrave,3617,658000.0,22.0,865000.0,520000.0,550000.0,595000.0,753000.0,845000.0,650000.0,33.0,880000.0,395000.0,1.0,,428.0,20.0,695.0,205.0
3160,Belgrave Heights,3627,658000.0,22.0,865000.0,520000.0,550000.0,595000.0,753000.0,845000.0,650000.0,33.0,880000.0,395000.0,1.0,,428.0,20.0,695.0,205.0
